total penalty per word;key position cost;finger repeats;disbalance of fingers;top to bottom or vice versa;handswitching in trigram;(rows²/dist)²;shortcut keys;handswitching after unbalancing;movement pattern
0.87783965958;1.064e-05;2.56e-07;3.45129201892e-06;0.0;3e-06;3.81253166667e-07;1.284e-07;3e-07;4.4e-07
0.812063586631;9.95e-06;1.28e-06;3.31099420112e-06;0.0;1.2e-06;2.10344833333e-07;8.56e-08;3.6e-07;5.6e-07
0.796005895251;1.017e-05;1.024e-06;3.14053502186e-06;0.0;6e-07;8.56517833333e-07;8.56e-08;3.8e-07;5.6e-07
0.747030608759;1.008e-05;5.12e-07;3.18433136682e-06;0.0;6e-07;7.78149e-07;1.284e-07;2.2e-07;4.4e-07
0.817028943906;1.059e-05;5.12e-07;3.72437035227e-06;0.0;3e-07;9.90678911565e-07;4.28e-08;2e-07;5e-07
0.780693580961;1.022e-05;1.024e-06;3.12756838898e-06;0.0;3e-07;8.22751166667e-07;8.56e-08;3.2e-07;5.6e-07
0.764424887;9.9e-06;2.56e-07;3.47472596285e-06;0.0;6e-07;7.76795578231e-07;4.28e-08;3e-07;5e-07
0.767311568524;9.99e-06;1.024e-06;3.07161877532e-06;0.0;3e-07;8.07026166667e-07;4.28e-08;3.2e-07;5.6e-07
0.825165835307;1.002e-05;7.68e-07;3.57532051282e-06;0.0;1.8e-06;2.38004833333e-07;1.284e-07;3.8e-07;5.6e-07
0.735333058598;9.91e-06;5.12e-07;3.23594668627e-06;0.0;3e-07;7.19956333333e-07;8.56e-08;3.4e-07;5.6e-07
0.715145156932;1.011e-05;2.56e-07;3.37130869771e-06;0.0;6e-07;1.34823e-07;1.284e-07;2.2e-07;4.4e-07
0.860291829866;1.059e-05;1.024e-06;3.63773155884e-06;0.0;1.2e-06;3.70792333333e-07;1.284e-07;4.2e-07;5.6e-07
0.777768952724;9.96e-06;2.56e-07;3.02570426175e-06;0.0;1.2e-06;7.46679833333e-07;8.56e-08;3.6e-07;5.6e-07
0.857171268394;1.012e-05;1.28e-06;3.53708116249e-06;0.0;1.5e-06;3.06163166667e-07;4.28e-08;4.6e-07;5.6e-07
0.880588783831;1.004e-05;1.28e-06;3.53212871908e-06;0.0;2.1e-06;3.40400666667e-07;8.56e-08;4e-07;5e-07
0.706539944381;1.013e-05;0.0;3.4590147087e-06;0.0;0.0;7.12715666667e-07;8.56e-08;2.2e-07;4.4e-07
0.726120459506;9.8e-06;7.68e-07;3.42072206571e-06;0.0;3e-07;1.32031333333e-07;8.56e-08;3.4e-07;6.2e-07
0.717211604859;1.018e-05;2.56e-07;3.2446549096e-06;0.0;0.0;7.89449e-07;8.56e-08;2.8e-07;4.4e-07
0.769782110733;1.008e-05;1.024e-06;3.03652565233e-06;0.0;3e-07;8.34038666667e-07;4.28e-08;3.2e-07;5.6e-07
0.773990433472;1.007e-05;7.68e-07;3.20668311642e-06;0.0;6e-07;4.25640666667e-07;4.28e-08;3.8e-07;6.2e-07
0.753370257065;1.008e-05;5.12e-07;3.20711256681e-06;0.0;6e-07;9.047865e-07;8.56e-08;2.2e-07;4.4e-07
0.757689223561;1.026e-05;2.56e-07;3.12169481277e-06;0.0;6e-07;6.83783078231e-07;4.28e-08;3e-07;5e-07
0.753370257065;1.008e-05;5.12e-07;3.20711256681e-06;0.0;6e-07;9.047865e-07;8.56e-08;2.2e-07;4.4e-07
0.747663225716;1.005e-05;5.12e-07;3.21808209592e-06;0.0;6e-07;8.816865e-07;8.56e-08;1.4e-07;4.4e-07
0.787633495771;1.003e-05;1.024e-06;3.101365673e-06;0.0;6e-07;8.56517833333e-07;8.56e-08;3.8e-07;5.6e-07
0.892161328638;9.99e-06;2.56e-07;3.39069589137e-06;0.0;3.9e-06;4.48282333333e-07;8.56e-08;4.2e-07;5e-07
0.870014550568;9.8e-06;5.12e-07;3.33176931071e-06;0.0;1.2e-06;2.37867057823e-06;8.56e-08;4.8e-07;3.8e-07
0.836065701715;1.068e-05;1.28e-06;3.51759863605e-06;0.0;0.0;9.86837244898e-07;4.28e-08;2.6e-07;5e-07
0.819459517217;1.027e-05;5.12e-07;3.41003348992e-06;0.0;1.2e-06;8.62278911565e-07;4.28e-08;2e-07;5.6e-07
0.791640595574;1.032e-05;1.024e-06;3.12371809671e-06;0.0;6e-07;7.97066666667e-07;8.56e-08;3e-07;5.6e-07
0.76185961321;1.009e-05;5.12e-07;3.20709334788e-06;0.0;6e-07;9.04628166667e-07;1.284e-07;2.6e-07;5e-07
0.870817514036;1.026e-05;7.68e-07;3.95230599061e-06;0.0;1.5e-06;8.52716411565e-07;1.284e-07;4.6e-07;3.8e-07
0.805797195257;9.86e-06;1.28e-06;3.14655085408e-06;0.0;9e-07;9.068865e-07;8.56e-08;3.2e-07;4.4e-07
0.73151439815;9.83e-06;7.68e-07;3.47103962644e-06;0.0;0.0;6.98993833333e-07;4.28e-08;3e-07;5e-07
0.795985946766;1.046e-05;1.024e-06;3.17674168386e-06;0.0;3e-07;8.408345e-07;8.56e-08;3.4e-07;5.6e-07
0.770299464569;1e-05;5.12e-07;3.16540975068e-06;0.0;9e-07;6.99176166667e-07;4.28e-08;3e-07;5.6e-07
0.85839042679;1.025e-05;1.28e-06;4.09270180017e-06;0.0;9e-07;3.74782744898e-07;8.56e-08;3.2e-07;5e-07
0.770188983054;1.029e-05;2.56e-07;3.21066908879e-06;0.0;9e-07;7.49051166667e-07;8.56e-08;3e-07;5.6e-07
0.906117025703;1.062e-05;7.68e-07;3.24900417151e-06;0.0;9e-07;2.52897891156e-06;8.56e-08;2.6e-07;5e-07
0.801568885429;1.059e-05;0.0;3.46633207674e-06;0.0;1.2e-06;5.84170578231e-07;4.28e-08;3.2e-07;5e-07
1.03530538048;1.003e-05;2.56e-07;3.09636483909e-06;0.0;5.4e-06;2.035297e-06;0.0;5.6e-07;5.6e-07
0.773717918968;1.007e-05;1.024e-06;3.12756838898e-06;0.0;3e-07;8.23472e-07;8.56e-08;3.2e-07;5.6e-07
0.733198961196;9.93e-06;0.0;3.33131227638e-06;0.0;6e-07;3.96074e-07;4.28e-08;3.2e-07;6.2e-07
0.767247719776;1.008e-05;5.12e-07;3.09665118587e-06;0.0;6e-07;9.06077166667e-07;1.284e-07;3.2e-07;5e-07
0.782391952196;9.89e-06;5.12e-07;3.53522045045e-06;0.0;6e-07;9.52895833333e-07;4.28e-08;2.6e-07;5e-07
0.772100087431;1.008e-05;1.024e-06;3.0838467941e-06;0.0;3e-07;8.22572e-07;8.56e-08;3.2e-07;5.6e-07
0.897489139764;1.018e-05;1.024e-06;3.28764609773e-06;0.0;9e-07;2.55875e-06;8.56e-08;3.4e-07;3.8e-07
0.757621773636;1.041e-05;0.0;3.41090183685e-06;0.0;3e-07;6.58233078231e-07;8.56e-08;2.8e-07;5.6e-07
0.749696842766;9.89e-06;5.12e-07;3.22680689371e-06;0.0;6e-07;8.10231333333e-07;4.28e-08;3e-07;5.6e-07
