layoutstring,total penalty per letter,key position cost,finger repeats,disbalance of fingers,top to bottom or vice versa,handswitching in trigram,(rows²/dist)²,shortcut keys,handswitching after unbalancing,movement pattern,hand disbalance, manual penalty, neighboring unbalance, asymmetric bigrams, asymmetric similar keys, irregularity, regularity segments mean,regularity segments std,regularity words mean,regularity words std
"ariey_btnsh⇘-ämuüq_vplfkjß-zcxoö_wd,.g",9.41252021062325,50.60235332318194,55.09498906,24.765779547607,10.27564740035969,11.66352747788706,106.21458830763743,0.36597309448071924,11.661124090288693,30.604487212465,0.4143823864425552,18.27062499420688,10.063107180035473,0.865475602099087,11.528934145437256,2.081921012281459,1144.6162367661625,339.80847296163364,784.2244472046839,1019.4948437348853
"mtehp_fnirs⇘-ädovö_qbalzßj-gküuy_wc,.x",9.77190016161605,51.330153578865136,54.4167678,21.94181256642975,8.512130500731264,17.143968313836503,106.62123014109541,1.0979192834421578,10.916109652610183,37.19329206597608,0.4394112195887024,19.246175994510338,11.875058952406954,0.8866611812587247,14.347323035228815,1.6572398243466466,1128.4174448352016,344.1398547670763,745.4358303147824,691.053872866872
"hnreä_gtais⇘-ömlüq_kpoufjß-vxzcy_bd,.w",9.391029715524786,47.548929408828,53.22672594,24.422796385474896,9.150028778766844,26.04488529110974,99.23738577585694,0.36597309448071924,12.266154422065288,28.839884386262206,0.2546384976807803,18.926865522088185,12.924857829715052,0.875252288158055,7.722812549449034,1.879230365163641,1102.8238645656495,332.93854299343235,807.4458706636731,1068.9653536072562
"luenp_gtisr⇘-ähocö_xbamzßj-vküfq_wd,.y",9.523895246941398,51.637163534688256,53.29726432,22.246242287960538,8.217937104808694,21.432431249329447,98.41574236685284,0.7319461889614385,11.29459524037235,29.412901812703957,0.16333413888625783,19.551653601141616,12.047076725991943,0.890022128691284,17.70070058110869,1.50993022183847,1123.0781301157265,309.1301193081278,827.6702405513234,1015.9703654164672
"iaehm_cnrst⇘-övokq_xplfzßj-uüägy_wb,.d",9.358876479477493,45.00450558689093,55.24791256,32.844845427068336,7.510520294042977,10.628771917910836,105.26605693931374,1.0979192834421578,12.183836686968053,28.05179195403259,0.10277833640407033,20.681489720171495,12.680918203314334,0.8640827646091933,8.925049048841608,1.4192198827094171,1011.7053369056118,304.15948529089303,725.1610295012217,821.7457064723704
"sntrl_puead⇘-jfgcö_äüowkxß-zbvmq_yi,.h",9.897925377618892,58.526342042184574,55.93807356,26.736387661230786,8.957092612976599,8.922468130322327,112.96179320006549,0.36597309448071924,11.79298509285704,28.46251282723272,0.7762235635645108,18.493362578809922,11.325775961196666,0.8821198385077755,16.36620489450018,1.7301228807134201,1111.658218014787,299.25123623924856,754.8529749618361,843.3262980423341
"hrnak_btiec⇘-ßlszä_vwuüfqj-gxöoy_pd,.m",9.674910906811409,52.1415176594685,54.54865032,23.77267466452141,8.14197991909642,18.74164343007751,104.63835745719058,0.7319461889614385,12.434080363083122,33.36929093682934,0.7508363127676619,18.23648186721041,12.47507157278092,0.8477645171455963,11.877743759822282,1.3676693701481102,1067.9194564237887,279.0587685467163,753.6992602471298,971.5560549333229
"ainey_mstrh⇘-jucxö_vbdlkzß-üäpoq_fw,.g",9.250629526425357,45.47315776306578,53.74019362,24.2843432275164,10.211625286418652,11.808277911428316,105.15147822063338,0.7319461889614385,13.608442792326347,31.457269073648884,0.4424902039679431,16.90879847852568,10.262188939832148,0.8824268840103906,11.877743759822282,1.707769017902186,1151.7306957124752,384.0279484628399,753.6347695866273,926.7478320016115
"mnrsg_wtiea⇘-jplkß_qfuüöxä-cvzhy_bd,.o",9.509434273928697,49.93685208769589,55.81936076,25.26841460143374,8.06905739971554,16.447562224035327,107.05954980687622,0.36597309448071924,11.209396069694348,25.38225435063522,1.4757535358350244,18.167700797297986,12.337784344222298,0.8697559216148271,12.54499160312654,3.065302202406068,1291.1782295191308,458.41352353449406,780.7610149663902,1265.320009256475
"rnsuk_wtaec⇘-jlmpß_qfioyöx-zübhv_gd,.ä",9.662519295414288,56.33611398564617,54.70694688,24.188206206526612,9.95084946478939,14.38291517440439,108.42368751824317,1.0979192834421578,11.492966280914857,28.504101783227636,1.6222325475892605,16.389233596204768,13.064518150451775,0.8764869566049932,10.757751866409677,1.828279007787763,1079.3210053555679,301.63809399735896,768.3519762641793,980.6532272764747
