layoutstring,total penalty per letter,key position cost,finger repeats,disbalance of fingers,top to bottom or vice versa,handswitching in trigram,(rows²/dist)²,shortcut keys,handswitching after unbalancing,movement pattern,hand disbalance, manual penalty, neighboring unbalance, asymmetric bigrams, asymmetric similar keys, irregularity, regularity segments mean,regularity segments std,regularity words mean,regularity words std
"urney_ptags⇘-jmläö_qwihkvß-czxoü_bd,.f",9.246253355389033,46.53124610326367,55.45142774,25.85274355864554,8.140107492625841,21.712568701627003,97.18316328322408,0.36597309448071924,10.202333497671972,27.24775910279032,0.26817034059696293,20.767238737657784,8.847400525553246,0.8778496896048462,13.398418488134089,1.5415949265697297,1064.9902502905747,296.5454118913339,854.431613467197,1588.7239293342247
"nselc_gtrih⇘-jfouq_xbmazvß-ykäüö_wd,.p",10.077488006838422,54.203055972516864,54.19771272,27.118198192930404,7.571346605209079,19.52842428015008,102.40854397032172,1.463892377922877,12.643034480667925,38.02768136268581,0.051665865220625384,19.21611034846498,13.454331149677223,0.8785046061437396,16.602398517439436,1.4440465961485747,1115.2967237588748,301.1701278051307,850.2600421960298,1625.8291609352927
"haenm_btirs⇘-övopq_xwulkßj-zyäcü_gd,.f",9.479511618784404,42.80512143846617,52.47365224,24.27332986043022,8.90927262965691,22.54133438778583,102.90579990801842,0.7319461889614385,11.744015444249548,28.55563570771649,0.2938665565356652,18.635090012935112,13.335227967677707,0.8827139491249989,17.351890966723662,1.4857228709638748,1094.1085269243583,329.3322832427003,744.0062668184595,752.5233895530909
"hneao_ctirs⇘-ßlyzü_vpumfqj-kxägö_bd,.w",9.777125447699724,49.44383480967773,52.94609864,24.036557085282805,8.49729169924394,21.217674198650776,99.0901165775297,0.7319461889614385,13.895791609184444,36.391057830583165,0.17100104071841488,19.754478884555812,13.983747227481684,0.8876623857189413,15.163968395107599,1.6052589493891118,1097.3369093864032,295.59230202208585,788.4276837368789,1021.2379043034707
"hsney_pirtg⇘-zflüä_övcdmßj-kwxoq_ua,.b",10.054824421982854,71.52525491947381,54.5477229,23.483695809774936,9.25742505287269,20.445318514919528,109.13338437250425,0.7319461889614385,13.409978063185935,22.63666458402034,0.05440287229749425,16.545760237022474,10.47611835956954,0.8900467034307186,13.361636963005324,1.4801652762990691,1080.68972307059,280.55165699927016,702.169669743258,635.8197689857458
"mrseu_bnath⇘-ölgüä_qwidzjß-cxkoy_pf,.v",9.493137984235773,55.08133570685331,54.09690936,22.252658508293575,7.2393094952992705,23.814060443079626,100.48204004609754,0.7319461889614385,11.75750241874928,29.769423765103532,0.2547806198735637,16.85907541856692,13.022113482527203,0.8682112142587175,9.659449802740426,1.534491971917966,1067.8857146229984,293.75373318723996,733.0985546694748,670.4884338195353
"usenf_gtrih⇘-ßmopy_qwlazäj-kxücö_bd,.v",9.545087447576504,49.994566970762165,52.42855594,20.92064404094625,7.734017445870281,20.26343128878424,103.77221486140681,1.0979192834421578,13.35850494934203,36.30474987704154,0.1528230291767386,15.82042077377897,12.166682835543238,0.8726714474190559,13.012827348620299,1.4244889357305337,1079.3423157912573,311.9425170236935,775.1257250148926,707.056493995747
"ueinz_gsrth⇘-ßoavy_xfldpqj-cöümä_kw,.b",9.508662648555125,49.363644459115775,53.85974514,23.672783294198783,8.208090156056446,15.540068110049898,108.45193386274336,0.7319461889614385,13.409404816391836,33.59300456058342,1.0464632687177846,19.240803599882682,10.495412829428561,0.8829401947941387,8.145185214091587,1.3500436914793659,1033.0639058109825,288.8552444322344,726.6417229100783,721.6637807096205
"citeo_bsnrd⇘-jugäö_kmplzqß-vxyaü_wf,.h",9.474037450651828,55.09026878883065,55.48409198,24.84509171741065,7.621854376400038,10.312294206747282,106.61056480725482,0.36597309448071924,13.58789291172528,28.466958835877644,0.3960860291824303,15.319163214820854,11.337139313228539,0.8917664614861164,15.200749920236364,1.1943846464460155,1032.1560648658594,269.1957164923685,720.8898250294526,713.4198670305489
"hsetk_mnria⇘-zfopy_qcluvßj-gxädü_wb,.ö",9.780736836255475,46.71864640049317,53.2031957,24.243172775556722,9.332888324636793,22.957467992002357,115.19024696992108,0.7319461889614385,13.03442584973101,30.16763943867424,0.06303608207901455,16.991678026703845,10.926306575955802,0.8614058411283143,11.528934145437258,1.997662315316541,1156.8168314212057,370.034131250708,739.8128778144902,816.7918461841143
"hsrnm_oeutd⇘-öklpq_äüiwfjß-gzxbv_ya,.c",9.482323488834954,56.589437740324875,54.81987502,27.95329459387629,6.870808228477966,12.546705496574276,104.21695892234015,0.7319461889614385,16.119377481296333,22.461708959823756,1.8910842446440363,17.210978934856406,10.458165156097074,0.8690539271035748,13.012827348620299,1.2753047646174407,1034.5197318158305,300.6485829584494,674.8766424035902,692.2223944725655
"heciy_mnrts⇘-jägaq_wbldvzß-uöxoü_fp,.k",9.546915620332205,48.15547881869139,56.84855252,27.701653833098966,10.752886381363565,10.572404480115791,104.53551396001899,0.7319461889614385,15.315224540298363,34.159382670838326,0.343443136623207,20.178393614105346,11.467449643792236,0.8763021077244885,6.3211639522459615,1.4316293840511882,1137.783062517061,333.23698364218274,762.5193764379192,847.8943412710413
"aehiü_cnrst⇘-öägvj_zblmwqß-oykux_fp,.d",9.456743341733091,43.242313229556245,56.63910572,32.236494706016806,9.635475839483043,9.011435130511105,106.27976154584364,1.0979192834421578,12.27908519514201,32.21133728704892,0.6046135763340797,20.617231836029532,11.06306442131792,0.8736203597678128,8.925049048841608,1.3748552690646725,978.9199202971338,296.7333206422091,699.2772652254562,633.4048958849094
"cnteo_wgirs⇘-jbyüö_vdulzqß-mpxaä_fh,.k",9.655398337503163,48.52087309153922,56.58022278,25.57960985714384,8.864225366824627,20.19733586856084,104.73416258839308,0.7319461889614385,13.248564891363387,24.413481576587404,0.3570626579921179,19.15742185246005,12.9870963559911,0.894583963774665,15.482406624026831,1.612607138383853,1098.4067511620717,336.4960174102119,761.6972601192368,906.2018951758591
"utney_wgmar⇘-ßpläö_fhsikjx-cvqoü_bd,.z",9.894785417087183,49.98252059427784,57.94080706,25.34743520704932,10.05068983349941,20.703058944392296,102.32687795700897,0.7319461889614385,13.79476387029884,32.98961046000434,0.1453958277026308,18.734627823903548,10.026710716839226,0.9020766446978911,16.92083674635867,1.5251659564146582,1145.3130518900998,310.93155101583164,893.5508751092915,1557.2571098288315
"hnrtd_fseai⇘-ßvlgz_qwuoüöj-bpxcy_km,.ä",9.263614127297616,52.22600651034238,53.31619856,23.630231845020763,7.071903839269749,11.422998292344039,109.07576429308807,0.7319461889614385,13.019470195441889,20.156157370221976,0.742501699494647,16.216451108928723,14.595605416882112,0.860895601066072,14.496720551803342,1.4605013513764273,1053.5478373223718,307.69133678844327,750.1013822027796,1004.5691299166459
"gherl_ctisa⇘-üpoyq_öwufzjß-mkänx_bd,.v",10.017176636379325,59.659093730309664,54.67997994,23.715011328766572,8.633551354753944,24.445472075811896,98.6928625111591,1.463892377922877,13.868666636703015,28.035450597105843,0.7025731140944173,17.855685326823604,16.567405346615097,0.8775140278935613,15.867997763540624,1.5365570260702404,1163.1122590474297,345.97163199806,800.7913144679072,760.449401262559
"auetk_lhnsi⇘-äcüfö_xwrbzßj-opygq_md,.v",10.151364271304374,68.24395700115535,55.66233358,28.74655810145469,9.535156339046495,13.694488677437356,105.73903160297482,1.0979192834421578,12.42671951677401,28.56031909932012,0.694350913802076,20.254044998899953,10.5127868922788,0.8813790885915768,13.643293666795795,1.8202807950541555,1276.9849198454117,326.21287425187455,814.8035326158148,782.6911242251483
