layoutstring,total penalty per letter,key position cost,finger repeats,disbalance of fingers,top to bottom or vice versa,handswitching in trigram,(rows²/dist)²,shortcut keys,handswitching after unbalancing,movement pattern,hand disbalance, manual penalty, neighboring unbalance, asymmetric bigrams, asymmetric similar keys, irregularity, regularity segments mean,regularity segments std,regularity words mean,regularity words std
"stnrl_üeihd⇘-jpfmz_öaubwxß-kvycq_äo,.g",10.201453902014311,63.89362686146807,55.5640175,28.137674726641194,12.291232636047912,14.598579974848235,110.42258779123495,1.0979192834421578,11.755425581330922,20.76847402237742,1.1293190786027532,19.11015536356451,8.716181657662565,0.8560134652685552,23.480240955517065,1.5243163742522163,1171.4410162553384,312.7076228883899,757.3761229415977,826.4045343583751
"hndrl_gsieu⇘-ßytmj_vbaopxq-äöücz_kf,.w",10.388899449244635,56.934248150852206,52.60603704,22.37182431268407,10.569501850774989,19.41744311227917,111.96464425882436,1.463892377922877,12.614126693685503,30.839631975021,1.448694416542666,16.035389537040196,16.000173165503877,0.8711293307729009,25.57309864182722,1.495933105178797,1280.1664922115895,337.1070321322965,1143.9933118425342,3720.9227848640166
"rianc_fetbh⇘-ßuolv_jxdsgwz-möüäq_yp,.k",10.572576064487839,64.7960325930293,56.53158706,29.51805324792034,10.704368094631958,20.937206055000143,111.87756247630394,1.463892377922877,15.549734231630758,27.34695849502632,0.2976452215385673,21.600915382664358,12.875234192830996,0.8640741606543063,11.106561480794701,1.4580128253913502,1198.0237621680214,322.4093963258771,806.2268483108543,938.1506565554303
"aienm_btfrh⇘-öuoüj_wgslvzß-yxäcq_pd,.k",9.754010475354912,45.99253999668887,53.51278222,23.553312395653528,10.00353119330297,16.232838345951183,105.90463966134286,1.0979192834421578,12.798327588609093,27.20689045882386,0.7316761233637534,16.22765710235639,13.43136208154601,0.891655922812826,27.821575989679896,1.5638313627255434,1149.847828308872,346.4890437153071,862.9054783230939,1249.3804492034685
"hrenä_bgafs⇘-jluvö_üdoiwzß-mxycq_pt,.k",10.161784628809162,52.235669716884566,57.39461672,25.8154756301969,11.690861282346171,20.66898917592711,101.96237381065785,0.7319461889614385,10.74417245800613,39.73975496587044,0.3117990036757358,20.54418973824163,10.806698542884849,0.8930073213096298,16.715014508885197,1.639407541342015,1240.6774227992448,355.54726116553616,871.0006636427704,920.3278691925243
"hrntg_äaesm⇘-ßlbdq_xüuwvyj-kzpcö_oi,.f",10.08849131706517,62.18397582101784,55.7563764,21.395690545950828,8.515259191176673,12.257618010866768,112.6755495037884,1.0979192834421578,12.819621597328586,23.743153310317698,0.7848142815228237,16.565372821203294,12.176075236881042,0.8683947114476902,25.57309864182722,2.798719238049695,1136.308081403409,384.1176855310657,817.2376952228317,1338.229170573766
"tnrsm_fdeiw⇘-jclvß_öhouüäq-xyzgk_pb,.a",10.476987365812777,53.60978602986602,57.14789604,23.803301507109563,10.640453123438144,13.357830605022405,112.65607075711833,0.0,12.632375318837573,31.154900218258632,1.1448086164842972,18.967120037962058,12.161789414417303,0.8649048727692504,33.54037359315669,1.7479385757499006,1286.740232287147,363.7158465418193,810.2920984154124,776.5931278730523
"hrenm_gstui⇘-jlozß_vwdbüäq-köxcy_pf,.a",10.305595497047623,58.71015688205597,55.50517082,29.93057117120816,7.82871065403197,24.445400088260005,100.92888192556677,0.7319461889614385,11.386326760617616,36.99802024667449,0.6059909351070988,18.96053776842358,11.29365901552991,0.8867789984859813,16.715014508885197,2.2299014883002832,1265.3680039360559,378.0805291769016,824.3909946708079,1007.0408493424452
"rnmag_bfeti⇘-ßlsäö_qdywvüj-czkox_ph,.u",10.785590199733866,51.12788919450011,58.2872009,31.102315220438427,10.424571178147357,23.031472565850624,110.60066166909903,0.7319461889614385,13.835487763057012,35.35325133633575,0.6387953803481718,21.15080966499637,12.788754237982932,0.8961574627591885,23.41517146628701,1.3390978909887978,1442.35789469216,523.6744507320909,944.1834417268803,1339.1341714436358
"htnsm_ceria⇘-ßfpkq_öxluzäj-dbwgv_yo,.ü",10.403171363693366,66.82169140650558,56.22275388,26.234881289128175,7.408963035613659,12.39991480859359,122.28698768474304,1.463892377922877,12.240047311032638,27.101192489789906,1.3600231176924493,17.425077215000417,11.097105075920622,0.8737662441934941,15.668585665730122,2.123200036539972,1253.621376438687,429.6013922021348,792.4206195545313,886.6402158084254
"hrnsw_pteau⇘-zlfmß_qcoikxj-yöäüv_gd,.b",10.38174045621958,57.05672404317596,55.19736682,22.48798515133014,10.469240874787214,20.567850637728554,111.69066817001278,1.0979192834421578,12.092014756902886,30.686838990330344,2.4266809338772304,16.705083378401074,13.652178656233868,0.8705259494552336,23.369896380130772,1.5727940600270813,1132.6041089608316,302.8228074022378,833.7866150814689,837.8189990914722
"mlrtp_üeiah⇘-fnsdv_qäuokjx-wßzcb_yö,.g",10.496358345953036,54.4586372685794,59.25316702,23.14526979907215,11.00271177257758,8.71110718550751,136.7277101162432,1.0979192834421578,14.721860935089968,24.76988938399922,0.1969746007057611,17.48555343190162,14.60843594854492,0.8799371624907886,14.511812247188754,2.5674883093526155,1295.3180098598336,414.8221286432656,827.0257211129848,1099.2707070554002
